WOJEWîDZTWO	NAZWA ZAKüADU	ADRES	TEL	E-MAIL
pomorskie	F. H. U. RAFGEL RAFAü GELECIÁSKI	ul. WidziÄska 23, Kobylnica	602 644 337	rafgel@wp.plĘ
pomorskie	AUTO-LOCK ELEKTRO-MECHANIKA POJAZDOWA, T. J˘DRASZEK	ul. Wojska Polskiego 498, Malbork	692 858 803	auto_lock@o2.pl
pomorskie	COALA BOGDAN KAüEDKOWSKI	ul. Grunwaldzka 60	601-611-410	coala1155@wp.pl
ćlskie	CZAKRAM SP. Z O.O.Ę	ul. Rzemiećlnicza 18, Mys¸owice	322 221 587	smyslowice@czakram.plĘ
ćlskie	KKL BURCON LESZEK	ul. Gen. J. Hallera 20 C, Katowice	855 349 648	warsztat@kkl.plĘ
ćlskie	ROMAN ELIASZ PRZEDSI˘BIORSTWO WIELOBRANűOWE ELIASZ	Nowa Gorzelnia 107 A, Blachownia	602 406 150	lukasz.eliasz@gmail.comĘ
ćlskie	FIRMA USüUGOWO-HANDLOWA LW AUTO LESZEK WITKOWSKI	ul. Dworkowa 1 b, Cieszyn	509 464 584	leszekv40@gmail.com
ćlskie	F.H.U. MIX-1 ADAM PSZENNIAK	ul. Kr«ta 5 A, Gogo¸owa	606 685 415	adamvictor@wp.plĘ
ćlskie	RAMAREX - I, BRZOZA ZBIGNIEW	ul. Rudzka 102, Rybnik	324 222 341	ramarex@home.plĘ
ćlskie	MECHANIKA POJAZDOWA HANDEL USüUGI, TOMASZ GARBACZ	Siemianice ul. PoznaÄska 27, Oborniki ĺlskie	508 319 228	tomaszgarbacz@vp.plĘ
ćlskie	PRZEDSI˘BIORSTWO WIELOBRANűOWE DAVANTI, RADOSüAW MAZUR	ul. Gombrowicza 95, Bytom	503 528 791	biuro@davanti.com.pl
ćlskie	P.P.H.U. VIS-EKO ADAM GAWRON	Kusi«ta 210a, Olsztyn		
ćlskie	AUTO SERWIS ADAM űAK	ul. Grzybowa 2, Jaworzno		
ćlskie	ELEKTROMECHANIKA SAMOCHODOWA, KRZYSZTOF PSUJ	ul. Jana Galla 16, Zabrze		
ćwi«tokrzyskie	ALL-GAZ PIOTR NEPELSKI	ul. Zr«biÄska 76, Po¸aniec	512 017 031	piotr405@o2.plĘ
ćwi«tokrzyskie	LPG SYSTEM - GRZEGORZ ZAGNIÁSKI	ul. Warszawska 428, Kielce	507 928 652	grzesieklpg@vp.plĘ
warmiÄsko-mazurskie	AUTO GAZ SERWIS STACJA OBSüUGI SAMOCHODîW KRZYSZTOF PREDKO	ul. Sprz«towa 4, Olsztyn	667 111 660	predkogaz@wp.plĘ
warmiÄsko-mazurskie	SEBA EKSPORT-IMPORT SEBASTIAN KUBIAK	ul. Jacka Kuronia 11, Olsztyn	895 237 722	auto.gaz.seba@wp.plĘ
warmiÄsko-mazurskie	EDE, EDWARD STOCKI	ul. BaýyÄskiego 12/1, Olsztyn	504 268 215	ede.auto@wp.pl
wielkopolskie	PHU RODAN ROMUALD STYCHAÁSKI	ul. Tymienieckiego 65, PoznaÄ	606 403 875	biuro@auto-gaz.net.plĘ
wielkopolskie	ARCADE GROUP üUKASZ WAü˘SA	ul. Przemys¸owa 110, Konin	531 111 222	konin@ekogas.plĘ
wielkopolskie	AUTOPORT/AUTOGAZ WOJCIECH NOWICKI	Zalasewo, ul. K—rnicka 148, Swarz«dz	602 869 344	autogazswarzedz@wp.plĘ
wielkopolskie	INSTAL AUTO-GAZ, NEWSMOKE ARTUR RAJZNER	ul. Czarnkowska 26 ,PoznaÄ	609 801 801	poznan1@instal-gaz.com.pl
wielkopolskie	P.P.H.U LUNA EXPORT-IMPORT	ul. Lećna 8, Pleszew	510 117 494	cys1@o2.pl
wielkopolskie	P.H.U. AUTO-GAZ - SüAWOMIR RUTA	Plesz—wka 30, Go¸uch—w		
wielkopolskie	LE-GAZ	ul. Wypoczynkowa 7, Pi¸a	603 166 421	legaz@vp.pl
zachodniopomorskie	AUTO NAPRAWA, JAROSüAW GIZIÁSKI	ul. Po¸czyÄska 73, Koszalin	943 425 950	auto-gaz@info.netius.plĘ
zachodniopomorskie	ADAMMAPOL ADAM MATERKA	ul. GdaÄska 7, Szczecin	503 709 670	adammaterka@gmail.com
zachodniopomorskie	GAZ-AUTO SERWIS DOMINIK STEFANIAK	ul. Krzysztofa Kolumba 45, Szczecin	731 055 967	gaz-autoserwis@wp.pl
